refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	MetaSRA_age	MetaSRA_age.unit
SRR4040393	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S392_L001_R1		12.0	week
SRR4040394	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S393_L001_R1		12.0	week
SRR4040395	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S396_L001_R1		12.0	week
SRR4040396	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S397_L001_R1		12.0	week
SRR4040397	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S398_L001_R1		12.0	week
SRR4040398	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S399_L001_R1		12.0	week
SRR4040399	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S400_L001_R1		12.0	week
SRR4040400	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S401_L001_R1		12.0	week
SRR4040401	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S402_L001_R1		12.0	week
SRR4040402	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S403_L001_R1		12.0	week
SRR4040403	SRP082327	12.000	c57bl/6						MUS_MUSCULUS	NextSeq 500 (NextSeq500)	True	381	Tximport	v1.25.8-hotfix				SRA		mouse hippocampus region		Nucleus from Hippocampus brain region A1-P2-CA1_S404_L001_R1		12.0	week
