"Method","Ontology","Term_ID","Term_Description","Annotated","Significant","Expected","p_value"
"topGO","Gene Ontology (BP)","GO:0060142","regulation of syncytium formation by pla...",80,53,22.58,1.7e-12
"topGO","Gene Ontology (BP)","GO:0048167","regulation of synaptic plasticity",396,173,111.75,2.5e-11
"topGO","Gene Ontology (BP)","GO:0015986","proton motive force-driven ATP synthesis",70,44,19.75,1.6e-09
"topGO","Gene Ontology (BP)","GO:0002181","cytoplasmic translation",240,111,67.73,1.9e-09
"topGO","Gene Ontology (BP)","GO:0006119","oxidative phosphorylation",145,74,40.92,5.3e-09
"topGO","Gene Ontology (BP)","GO:0007520","myoblast fusion",98,55,27.66,6.3e-09
"topGO","Gene Ontology (BP)","GO:0071230","cellular response to amino acid stimulus",192,90,54.18,2.8e-08
"topGO","Gene Ontology (BP)","GO:0042776","proton motive force-driven mitochondrial...",66,40,18.63,4e-08
"topGO","Gene Ontology (BP)","GO:0071229","cellular response to acid chemical",200,92,56.44,6e-08
"topGO","Gene Ontology (BP)","GO:0000768","syncytium formation by plasma membrane f...",118,61,33.3,6.2e-08
"topGO","Gene Ontology (BP)","GO:0140253","cell-cell fusion",118,61,33.3,6.2e-08
"topGO","Gene Ontology (BP)","GO:0001101","response to acid chemical",253,111,71.4,6.6e-08
"topGO","Gene Ontology (BP)","GO:0050804","modulation of chemical synaptic transmis...",773,284,218.15,1.1e-07
"topGO","Gene Ontology (BP)","GO:0099177","regulation of trans-synaptic signaling",774,284,218.43,1.2e-07
"topGO","Gene Ontology (BP)","GO:0043200","response to amino acid",236,104,66.6,1.3e-07
"topGO","Gene Ontology (BP)","GO:0006949","syncytium formation",120,61,33.86,1.4e-07
"topGO","Gene Ontology (BP)","GO:0007605","sensory perception of sound",277,118,78.17,1.8e-07
"topGO","Gene Ontology (BP)","GO:0022904","respiratory electron transport chain",119,59,33.58,6.4e-07
"topGO","Gene Ontology (BP)","GO:0099537","trans-synaptic signaling",976,342,275.43,1.3e-06
"topGO","Gene Ontology (BP)","GO:0099536","synaptic signaling",1026,357,289.54,1.6e-06
"topGO","Gene Ontology (BP)","GO:0014902","myotube differentiation",190,84,53.62,1.7e-06
"topGO","Gene Ontology (BP)","GO:0007268","chemical synaptic transmission",968,338,273.18,2.1e-06
